name,land_square_kilometers
Alabama,"131,171"
Alaska,"1,477,953"
Arizona,"294,207"
Arkansas,"134,771"
California,"403,466"
Colorado,"268,431"
Connecticut,"12,542"
Delaware,"5,047"
Florida,"138,887"
Georgia,"148,959"
Hawaii,"16,635"
Idaho,"214,045"
Illinois,"143,793"
Indiana,"92,789"
Iowa,"144,669"
Kansas,"211,754"
Kentucky,"102,269"
Louisiana,"111,898"
Maine,"79,883"
Maryland,"25,142"
Massachusetts,"20,202"
Michigan,"146,435"
Minnesota,"206,232"
Mississippi,"121,531"
Missouri,"178,040"
Montana,"376,962"
Nebraska,"198,974"
Nevada,"284,332"
New Hampshire,"23,187"
New Jersey,"19,047"
New Mexico,"314,161"
New York,"122,057"
North Carolina,"125,920"
North Dakota,"178,711"
Ohio,"105,829"
Oklahoma,"177,660"
Oregon,"248,608"
Pennsylvania,"115,883"
Rhode Island,"2,678"
South Carolina,"77,857"
South Dakota,"196,350"
Tennessee,"106,798"
Texas,"676,587"
Utah,"212,818"
Vermont,"23,871"
Virginia,"102,279"
Washington,"172,119"
West Virginia,"62,259"
Wisconsin,"140,268"
Wyoming,"251,470"
