name,water_square_kilometers
Alabama,"4,597"
Alaska,"245,384"
Arizona,"1,026"
Arkansas,"2,961"
California,"20,501"
Colorado,"1,170"
Connecticut,"1,816"
Delaware,"1,399"
Florida,"31,424"
Georgia,"4,951"
Hawaii,"11,678"
Idaho,"2,398"
Illinois,"6,202"
Indiana,"1,537"
Iowa,"1,077"
Kansas,"1,346"
Kentucky,"2,387"
Louisiana,"23,761"
Maine,"11,750"
Maryland,"6,990"
Massachusetts,"7,134"
Michigan,"104,052"
Minnesota,"18,930"
Mississippi,"3,907"
Missouri,"2,501"
Montana,"3,869"
Nebraska,"1,356"
Nevada,"2,048"
New Hampshire,"1,027"
New Jersey,"3,544"
New Mexico,757
New York,"19,240"
North Carolina,"13,471"
North Dakota,"4,397"
Ohio,"10,269"
Oklahoma,"3,377"
Oregon,"6,191"
Pennsylvania,"3,397"
Rhode Island,"1,324"
South Carolina,"5,076"
South Dakota,"3,379"
Tennessee,"2,355"
Texas,"19,075"
Utah,"7,064"
Vermont,"1,035"
Virginia,"8,508"
Washington,"12,542"
West Virginia,497
Wisconsin,"29,367"
Wyoming,"1,864"
