name,water_square_miles
Alabama,"1,775"
Alaska,"94,743"
Arizona,396
Arkansas,"1,143"
California,"7,916"
Colorado,452
Connecticut,701
Delaware,540
Florida,"12,133"
Georgia,"1,912"
Hawaii,"4,509"
Idaho,926
Illinois,"2,395"
Indiana,593
Iowa,416
Kansas,520
Kentucky,921
Louisiana,"9,174"
Maine,"4,537"
Maryland,"2,699"
Massachusetts,"2,754"
Michigan,"40,175"
Minnesota,"7,309"
Mississippi,"1,508"
Missouri,965
Montana,"1,494"
Nebraska,524
Nevada,791
New Hampshire,397
New Jersey,"1,368"
New Mexico,292
New York,"7,429"
North Carolina,"5,201"
North Dakota,"1,698"
Ohio,"3,965"
Oklahoma,"1,304"
Oregon,"2,391"
Pennsylvania,"1,312"
Rhode Island,511
South Carolina,"1,960"
South Dakota,"1,305"
Tennessee,909
Texas,"7,365"
Utah,"2,727"
Vermont,400
Virginia,"3,285"
Washington,"4,842"
West Virginia,192
Wisconsin,"11,339"
Wyoming,720
